total particle numbers for BW_2,particle average perimeter for BW_2,particle average area for BW_2,total particle numbers for BW_3,particle average perimeter for BW_3,particle average area for BW_3,particle total area for BW_3
386,21.402,25.689,93,34.029,37.882,3523
624,19.281,22.631,119,26.709,29.05,3457
476,22.122,25.981,135,27.538,28.785,3886
259,27.744,30.243,96,31.088,33.396,3206
369,22.602,27.976,119,31.146,33.017,3929
733,17.773,21.314,107,25.28,27.159,2906
576,19.397,23.04,94,28.57,30.426,2860
487,18.337,23.271,100,25.533,27.96,2796
459,22.093,25.009,105,27.905,29.048,3050
652,19.388,23.143,122,21.857,24.082,2938
583,18.858,22.758,144,19.703,21.431,3086
643,19.272,23.365,138,22.815,24.703,3409
574,19.998,23.904,146,22.601,24.425,3566
619,22.015,23.439,131,26.495,27.221,3566
619,20.743,24.312,142,22.09,23.725,3369
