total particle numbers for BW_2,particle average perimeter for BW_2,particle average area for BW_2,total particle numbers for BW_3,particle average perimeter for BW_3,particle average area for BW_3,particle total area for BW_3
386,21.402,25.689,93,34.029,37.882,3523
624,19.281,22.631,119,26.709,29.05,3457
476,22.122,25.981,135,27.538,28.785,3886
259,27.744,30.243,96,31.088,33.396,3206
369,22.602,27.976,119,31.146,33.017,3929
733,17.773,21.314,107,25.28,27.159,2906
576,19.397,23.04,94,28.57,30.426,2860
487,18.337,23.271,100,25.533,27.96,2796
459,22.093,25.009,105,27.905,29.048,3050
652,19.388,23.143,122,21.857,24.082,2938
583,18.858,22.758,144,19.703,21.431,3086
643,19.272,23.365,138,22.815,24.703,3409
574,19.998,23.904,146,22.601,24.425,3566
619,22.015,23.439,131,26.495,27.221,3566
619,20.743,24.312,142,22.09,23.725,3369
830,34.978,41.957,148,32.967,36.345,5379
722,31.855,38.249,118,32.197,35.551,4195
804,30.962,36.858,132,31.461,34.902,4607
862,33.186,41.251,144,29.123,30.229,4353
762,34.304,39.734,101,36.11,40.614,4102
808,38.469,39.167,122,32.491,33.934,4140
820,39.199,40.741,110,33.939,35.791,3937
819,36.013,40.665,111,38.906,37.829,4199
802,37.701,40.571,113,39.41,37.115,4194
839,33.991,40.538,114,31.528,31.772,3622
690,37.371,35.907,90,52.333,45.933,4134
709,35.002,36.199,98,44.165,39.582,3879
804,35.956,34.708,96,47.344,45.177,4337
856,33.783,34.504,107,38.82,38.215,4089
797,31.841,36.819,106,32.29,34.217,3627
486,83.836,64.821,503,47.602,44.954,22612
639,51.259,47.473,549,32.481,33.137,18192
634,53.495,52.15,539,39.978,35.545,19159
631,53.839,48.513,488,38.745,39.863,19453
591,65.466,56.601,555,38.483,37.15,20618
471,65.838,48.556,406,51.805,44.089,17900
509,58.037,48.216,415,46.803,41.569,17251
545,55.376,49.176,455,41.569,38.484,17510
585,51.848,49.272,454,42.469,40.031,18174
476,48.858,35.141,425,42.513,36.191,15381
452,43.283,41.577,308,35.702,39.938,12301
737,42.465,40.142,473,40.678,33.374,15786
667,48.18,41.544,464,40.409,34.433,15977
676,44.255,38.749,495,36.824,31.964,15822
591,44.253,40.122,393,43.441,35.873,14098
796,26.742,36.774,340,22.839,25.221,8575
763,20.296,24.86,251,20.304,21.892,5495
831,33.683,42.369,405,24.551,26.716,10820
793,36.479,43.107,367,28.22,30.839,11318
935,29.616,36.606,346,22.188,24.064,8326
923,20.482,23.502,135,22.124,24.111,3255
1180,22.56,30.21,290,16.786,17.817,5167
1197,21.486,29.444,269,17.7,19.037,5121
1063,21.392,28.603,283,19.464,21.032,5952
1136,21.199,28.029,261,17.503,18.977,4953
598,23.274,25.436,142,27.655,28.218,4007
910,23.159,28.838,214,28.837,32.042,6857
983,19.529,26.515,223,23.263,25.426,5670
784,30.298,31.936,193,37.421,37.311,7201
1021,21.579,26.405,202,24.877,27.218,5498
